fund_account,asset_prop,exchange_type,stock_code,stock_name,stock_type,current_amount,hold_amount,enable_amount,last_price,cost_price,income_balance,hand_flag,market_value,av_buy_price,av_income_balance,cost_balance,uncome_buy_amount,uncome_sell_amount,entrust_sell_amount,real_buy_amount,real_sell_amount,asset_price,keep_cost_price,assure_ratio
960000039239,7,1,601919,中远海控,0,16600.000,16600.000,0.000,10.490,12.432,-32234.330,0,174134.000,11.487,45931.980,206368.330,0.000,0.000,16600.000,16600.000,16600.000,10.490,12.432,0.650
960000039239,7,2,002456,欧菲光,0,400.000,400.000,0.000,10.160,9.965,78.040,0,4064.000,10.170,0.000,3985.960,0.000,0.000,400.000,400.000,400.000,10.160,9.965,0.650
960000039239,7,2,300059,东方财富,c,5400.000,5400.000,5000.000,35.370,42.271,-37266.390,0,190998.000,35.772,-24014.260,228264.390,0.000,0.000,400.000,400.000,400.000,35.370,42.271,0.700
960000039239,7,1,600655,豫园股份,0,19200.000,19200.000,0.000,10.010,9.873,2632.080,0,192192.000,10.473,15982.720,189559.920,0.000,0.000,19200.000,19200.000,19200.000,10.010,9.873,0.650
960000039239,7,2,300598,诚迈科技,c,1200.000,1200.000,800.000,70.120,84.677,-17468.040,0,84144.000,75.843,-7880.690,101612.040,0.000,0.000,400.000,400.000,400.000,70.120,84.677,0.650
960000039239,7,1,601766,中国中车,0,39700.000,39700.000,39700.000,5.960,6.715,-29986.330,0,236612.000,6.715,0.000,266598.330,0.000,0.000,0.000,0.000,0.000,5.960,6.715,0.700
960000039239,7,2,300072,三聚环保,c,6000.000,6000.000,0.000,5.520,6.138,-3706.360,0,33120.000,5.484,-824.240,36826.360,0.000,0.000,6000.000,6000.000,6000.000,5.520,6.138,0.300
960000039239,7,1,511990,华宝添益,j,238137.000,238122.000,238122.000,100.037,98.579,347240.260,0,23821010.510,99.897,303748.260,23473770.250,0.000,0.000,0.000,0.000,0.000,100.037,98.579,0.950
960000039239,7,2,300014,亿纬锂能,c,3700.000,3700.000,0.000,105.710,105.738,-104.950,0,391127.000,111.324,426.880,391231.950,0.000,0.000,3700.000,3700.000,3700.000,105.710,105.738,0.550
960000039239,7,2,000725,京东方Ａ,0,32400.000,32400.000,32400.000,5.890,6.684,-25720.390,0,190836.000,6.107,-4216.630,216556.390,0.000,0.000,0.000,0.000,0.000,5.890,6.684,0.690
960000039239,7,2,300001,特锐德,c,1600.000,1600.000,0.000,33.790,32.910,1407.440,0,54064.000,33.582,2604.750,52656.560,0.000,0.000,1600.000,1600.000,1600.000,33.790,32.910,0.620
960000039239,7,1,603799,华友钴业,0,2900.000,2900.000,0.000,95.150,82.644,36266.430,0,275935.000,103.183,34251.000,239668.570,0.000,0.000,2900.000,2900.000,2900.000,95.150,82.644,0.000
960000039239,7,1,600460,士兰微,0,4200.000,4200.000,0.000,23.400,27.273,-16268.520,0,98280.000,21.950,-9449.280,114548.520,0.000,0.000,4200.000,4200.000,4200.000,23.400,27.273,0.000
960000039239,7,2,000100,TCL科技,0,23300.000,23300.000,0.000,8.460,7.605,19922.750,0,197118.000,9.023,21701.110,177195.250,0.000,0.000,23300.000,23300.000,23300.000,8.460,7.605,0.640
960000039239,7,2,002407,多氟多,0,4200.000,4200.000,0.000,23.290,22.803,2047.230,0,97818.000,25.566,11929.000,95770.770,0.000,0.000,4200.000,4200.000,4200.000,23.290,22.803,0.000
960000039239,7,1,603299,苏盐井神,0,12800.000,12800.000,0.000,7.340,8.734,-17843.240,0,93952.000,8.011,-2262.880,111795.240,0.000,0.000,12800.000,12800.000,12800.000,7.340,8.734,0.650
960000039239,7,2,002460,赣锋锂业,0,1400.000,1400.000,0.000,111.960,135.329,-32716.970,0,156744.000,129.783,-3589.350,189460.970,0.000,0.000,1400.000,1400.000,1400.000,111.960,135.329,0.000
960000039239,7,2,002340,格林美,0,10200.000,10200.000,0.000,7.330,7.597,-2719.070,0,74766.000,7.950,11114.740,77485.070,0.000,0.000,10200.000,10200.000,10200.000,7.330,7.597,0.610
960000039239,7,1,600733,北汽蓝谷,0,9500.000,9500.000,0.000,8.490,9.986,-14210.000,0,80655.000,8.510,-8152.200,94865.000,0.000,0.000,9500.000,9500.000,9500.000,8.490,9.986,0.000
960000039239,7,2,002796,世嘉科技,0,16600.000,16600.000,5600.000,10.550,12.114,-25964.120,0,175130.000,11.498,-5584.170,201094.120,0.000,0.000,11000.000,11000.000,11000.000,10.550,12.114,0.650
960000039239,7,2,000301,东方盛虹,0,13600.000,13600.000,0.000,13.270,13.412,-1933.620,0,180472.000,14.900,5708.010,182405.620,0.000,0.000,13600.000,13600.000,13600.000,13.270,13.412,0.540
960000039239,7,1,603377,东方时尚,0,5000.000,5000.000,0.000,11.140,11.130,49.010,0,55700.000,11.054,455.270,55650.990,0.000,0.000,5000.000,5000.000,5000.000,11.140,11.130,0.650
960000039239,7,2,002389,航天彩虹,0,6600.000,6600.000,0.000,24.500,33.068,-56546.390,0,161700.000,25.172,-21395.930,218246.390,0.000,0.000,6600.000,6600.000,6600.000,24.500,33.068,0.650
960000039239,7,2,002288,超华科技,0,10000.000,10000.000,0.000,7.420,7.364,564.110,0,74200.000,8.518,14743.080,73635.890,0.000,0.000,10000.000,10000.000,10000.000,7.420,7.364,0.000
960000039239,7,2,002092,中泰化学,0,23300.000,23300.000,0.000,8.160,7.838,7494.480,0,190128.000,8.885,2205.190,182633.520,0.000,0.000,23300.000,23300.000,23300.000,8.160,7.838,0.520
960000039239,7,2,000503,国新健康,0,7300.000,7300.000,7300.000,6.840,7.399,-4083.230,0,49932.000,7.357,726.040,54015.230,0.000,0.000,0.000,0.000,0.000,6.840,7.399,0.000
960000039239,7,1,603026,石大胜华,0,2900.000,2900.000,2900.000,58.110,76.804,-54213.890,0,168519.000,67.114,-26818.310,222732.890,0.000,0.000,0.000,0.000,0.000,58.110,76.804,0.550
960000039239,7,1,603993,洛阳钼业,0,33600.000,33600.000,33600.000,5.740,6.179,-14734.060,0,192864.000,6.178,0.000,207598.060,0.000,0.000,0.000,0.000,0.000,5.740,6.179,0.700
