"证券代码","证券名称","数量","权重","市值"
"000970	","中科三环","9100","1.78%","88270.00"
"002050	","三花智控","13600","6.70%","331704.00"
"002056	","横店东磁","8800","2.86%","141680.00"
"002074	","国轩高科","9100","7.68%","380380.00"
"002709	","天赐材料","600","1.25%","61776.00"
"002812	","恩捷股份","2900","8.03%","397474.00"
"300001	","特锐德","6600","5.17%","255816.00"
"300014	","亿纬锂能","5100","11.73%","580533.00"
"300037	","新宙邦","2500","4.52%","223875.00"
"300073	","当升科技","3600","4.38%","217080.00"
"300124	","汇川技术","3100","6.20%","306838.00"
"300450	","先导智能","4700","8.93%","442317.00"
"300750	","宁德时代","100","0.79%","39052.00"
"600066	","宇通客车","14300","4.07%","201487.00"
"600563	","法拉电子","1400","3.07%","152124.00"
"600699	","均胜电子","8800","4.75%","235400.00"
"600733	","北汽蓝谷","22800","4.49%","222528.00"
"600884	","杉杉股份","12500","4.41%","218500.00"
"600885	","宏发股份","5500","6.28%","310750.00"
"603659	","璞泰来","1400","2.91%","143486.00"
