Id,Quota,ShortQty,Holding,AvlQtyToSS
100,1000,1000,0,0
625,1000,1000,0,0
725,1000,1000,0,0
728,1000,1000,0,0
733,2000,2000,0,0
793,1000,1000,0,0
990,100,100,0,0
2025,1000,1000,0,0
2074,500,500,0,0
2202,1000,1000,0,0
2241,100,100,0,0
2271,3000,3000,0,0
2389,1000,1000,0,0
2739,1000,1000,0,0
300027,1000,1000,0,0
300072,1000,1000,0,0
300251,100,100,0,0
300618,1000,1000,0,0
300630,1000,1000,0,0
600196,1000,1000,0,0
600315,1100,1100,0,0
600316,1000,1000,0,0
600438,1000,1000,0,0
600676,2000,1000,0,1000
600764,1000,1000,0,0
600977,1000,0,0,1000
601099,1000,1000,0,0
601633,1000,1000,0,0
601865,1000,1000,0,0
603444,1000,1000,0,0
603712,1000,1000,0,0
